#x_m,y_m,w_tr_left_m,w_tr_right_m
4.13260071923965,1.9937340920343145,0.5887178778648376,0.8
4.113211889261322,1.998640543765586,0.5887178778648376,0.8
4.113211889261322,1.998640543765586,0.5887178778648376,0.8
4.113211889261322,1.998640543765586,0.6571710109710693,0.8
4.09374560356921,2.003230066402892,0.6571710109710693,0.8
4.09374560356921,2.003230066402892,0.6344528794288635,0.8
4.074226903647593,2.0075912990512106,0.6344528794288635,0.8
4.074226903647593,2.0075912990512106,0.6344528794288635,0.8
4.074226903647593,2.0075912990512106,0.6483921408653259,0.8
4.054672786169926,2.0117908807759317,0.6483921408653259,0.8
4.054672786169926,2.0117908807759317,0.8,0.8
4.035063685299222,2.015725745472281,0.8,0.8
4.035063685299222,2.015725745472281,0.8,0.8
4.035063685299222,2.015725745472281,0.8,0.8
4.015389380287791,2.01932042481672,0.8,0.8
4.015389380287791,2.01932042481672,0.8,0.8
3.995672375164298,2.022672991946858,0.8,0.8
3.995672375164298,2.022672991946858,0.8,0.8
3.995672375164298,2.022672991946858,0.8,0.8
3.975927175066456,2.025855297812356,0.8,0.8
3.975927175066456,2.025855297812356,0.8,0.8
3.956140098199743,2.028765896842433,0.8,0.8
3.956140098199743,2.028765896842433,0.8,0.8
3.956140098199743,2.028765896842433,0.8,0.7821754217147827
3.936326524318009,2.031490284441188,0.8,0.7821754217147827
3.936326524318009,2.031490284441188,0.8,0.8
3.916476303447536,2.033933382731337,0.8,0.8
3.916476303447536,2.033933382731337,0.8,0.8
3.916476303447536,2.033933382731337,0.8,0.75384122133255
3.896603395527772,2.036184499959776,0.8,0.75384122133255
3.896603395527772,2.036184499959776,0.8,0.7884557247161865
3.876716738714936,2.0383107358048567,0.8,0.7884557247161865
3.876716738714936,2.0383107358048567,0.8,0.7884557247161865
3.876716738714936,2.0383107358048567,0.8,0.8
3.8568068298331952,2.0402069231567324,0.8,0.8
3.8568068298331952,2.0402069231567324,0.8,0.7853924036026001
3.836883575361428,2.0419573315358504,0.8,0.7853924036026001
3.836883575361428,2.0419573315358504,0.8,0.7853924036026001
3.836883575361428,2.0419573315358504,0.8,0.7576515078544617
3.8169405051666248,2.0434652935808937,0.8,0.7576515078544617
3.8169405051666248,2.0434652935808937,0.8,0.7395063042640686
3.7969864308625816,2.0448198846898817,0.8,0.7395063042640686
3.7969864308625816,2.0448198846898817,0.8,0.7395063042640686
3.7969864308625816,2.0448198846898817,0.8,0.7669873237609863
3.777026673464361,2.046087986848185,0.8,0.7669873237609863
3.777026673464361,2.046087986848185,0.8,0.7749089002609253
3.757055625862763,2.047163745300052,0.8,0.7749089002609253
3.757055625862763,2.047163745300052,0.8,0.7749089002609253
3.757055625862763,2.047163745300052,0.8,0.7581790685653687
3.7370718975180033,2.047970343132751,0.8,0.7581790685653687
3.7370718975180033,2.047970343132751,0.8,0.7489883303642273
3.717082051880007,2.0486075793962506,0.8,0.7489883303642273
3.717082051880007,2.0486075793962506,0.8,0.7489883303642273
3.717082051880007,2.0486075793962506,0.8,0.7476693987846375
3.6970893618695984,2.04914826867543,0.8,0.7476693987846375
3.6970893618695984,2.04914826867543,0.8,0.7739158868789673
3.677092278289053,2.0494898050293964,0.8,0.7739158868789673
3.677092278289053,2.0494898050293964,0.8,0.7739158868789673
3.677092278289053,2.0494898050293964,0.8,0.7736145257949829
3.657093589111851,2.0497187811388717,0.8,0.7736145257949829
3.657093589111851,2.0497187811388717,0.8,0.7803778052330017
3.6370935998353766,2.0497394659142607,0.8,0.7803778052330017
3.6370935998353766,2.0497394659142607,0.8,0.7803778052330017
3.6370935998353766,2.0497394659142607,0.8,0.7597121000289917
3.617093836854581,2.049642102253723,0.8,0.7597121000289917
